Kp:	0.1	Ki:	0	Kd:	0.4
cte	steer_value
0.3347	-0.03179	11.3729
0.3301	-0.03117	11.7205
0.327	-0.03146	11.5457
0.3222	-0.0303	11.1106
0.3173	-0.02977	11.3402
0.312	-0.02908	11.6011
0.3085	-0.02945	11.4569
0.3029	-0.02805	11.6513
0.2973	-0.02749	11.508
0.2916	-0.02688	11.1296
0.2877	-0.02721	11.5209
0.2818	-0.02582	11.2002
0.2759	-0.02523	11.4633
0.2719	-0.02559	11.3662
0.2658	-0.02414	11.6016
0.2597	-0.02353	11.5192
0.2555	-0.02387	11.6529
0.2492	-0.0224	11.533
0.2428	-0.02172	11.1968
0.2385	-0.02213	11.1186
0.2319	-0.02055	11.3505
0.2253	-0.01989	11.6406
0.2209	-0.02033	11.4731
0.2165	-0.01989	11.3567
0.2099	-0.01835	11.6574
0.2034	-0.01774	11.5575
0.199	-0.01814	11.7752
0.1925	-0.01665	11.1353
0.1859	-0.01595	11.3611
0.1794	-0.01534	11.6418
0.1731	-0.01479	11.5504
0.1667	-0.01411	11.2631
0.1625	-0.01457	11.1804
0.1563	-0.01315	11.4105
0.1521	-0.01353	11.1565
0.1459	-0.01211	11.3967
0.1398	-0.01154	11.6572
0.134	-0.01108	11.5685
0.13	-0.0114	11.7844
0.1229	-0.00945	11.7402
0.1232	-0.01244	11.736
0.1382	-0.01982	11.3323
-0.1578	0.13418	11.4969
0.1502	-0.13822	11.3849
0.1575	-0.01867	11.6294
0.1664	-0.0202	11.7251
0.1826	-0.02474	11.2764
0.195	-0.02446	11.1687
0.214	-0.029	11.3949
0.2331	-0.03095	11.7356
0.2456	-0.02956	11.6835
0.2637	-0.03361	11.1226
0.2759	-0.03247	11.5483
0.2938	-0.03654	11.2574
0.3056	-0.03528	11.1672
0.3231	-0.03931	11.3964
0.3403	-0.04091	11.7021
0.3569	-0.04233	11.5472
0.3678	-0.04114	11.7252
0.3837	-0.04473	11.1701
0.3994	-0.04622	11.4071
0.4146	-0.04754	11.4923
0.4245	-0.04641	11.3948
0.4389	-0.04965	11.7198
0.4527	-0.05079	11.2098
0.4618	-0.04982	11.2389
0.4749	-0.05273	11.4954
0.4834	-0.05174	11.3923
0.4956	-0.05444	11.6592
0.5069	-0.05521	11.5604
0.5143	-0.05439	11.7314
0.5248	-0.05668	11.1652
0.5348	-0.05748	11.409
0.5412	-0.05668	11.2082
0.5531	-0.06007	11.2765
0.5587	-0.05811	11.2044
0.5666	-0.05982	11.7744
0.5737	-0.06021	11.241
0.5781	-0.05957	11.2861
0.5841	-0.06081	11.7313
0.5894	-0.06106	11.2179
0.594	-0.06124	11.7323
0.5967	-0.06075	11.65
0.6003	-0.06147	11.3518
0.6034	-0.06158	11.7005
0.6052	-0.06124	11.7584
0.6071	-0.06147	11.2162
0.6083	-0.06131	11.6647
0.6087	-0.06103	11.7219
0.6086	-0.06082	11.249
0.608	-0.06056	11.706
0.6073	-0.06045	11.5163
0.6057	-0.05993	11.7939
0.6037	-0.05957	11.2427
0.6011	-0.05907	11.7213
0.598	-0.05856	11.5931
0.5955	-0.05855	11.7937
0.5914	-0.0575	11.2322
0.585	-0.05594	11.2734
0.5795	-0.05575	11.7839
0.5756	-0.056	11.7177
0.5692	-0.05436	11.2607
0.5646	-0.05462	11.2967
0.5572	-0.05276	11.6906
0.552	-0.05312	11.7374
0.5439	-0.05115	11.202
0.535	-0.04994	11.7581
0.5261	-0.04905	11.2674
0.5165	-0.04781	11.6587
0.51	-0.0484	11.7824
0.4999	-0.04595	11.3647
0.4929	-0.04649	11.293
0.482	-0.04384	11.7565
0.4708	-0.0426	11.2204
0.4632	-0.04328	11.2969
0.4515	-0.04047	11.7804
0.4398	-0.0393	11.1813
0.4316	-0.03988	11.6111
0.4192	-0.03696	11.3029
0.4109	-0.03777	11.1963
0.3979	-0.03459	11.7699
0.3849	-0.03329	11.3222
0.3715	-0.03179	11.731
0.3625	-0.03265	11.7205
0.349	-0.0295	11.3008
0.34	-0.0304	11.2596
0.3263	-0.02715	11.7673
0.3125	-0.02573	11.2679
