Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
0.2461	-0.0387021	42.6171
0.1517	0.0635487	42.55
0.0232	0.125801	42.5888
-0.0729	-0.0865793	42.6058
-0.2233	0.247739	42.619
-0.3857	0.208803	42.6534
-0.5464	0.194979	42.6288
-0.6355	-0.0963736	42.6324
-0.5646	-0.633408	42.6517
-0.4465	-0.4662	42.6695
-0.3451	-0.267252	42.4702
-0.2963	-0.0743284	42.3702
-0.2495	-0.200262	42.3755
-0.2316	-0.0922544	42.4042
-0.2263	-0.107296	42.4381
-0.2362	-0.0740406	42.4679
-0.2694	-0.00445348	42.5117
-0.3228	0.0361766	42.5556
-0.3767	-0.00278974	42.5965
-0.4099	-0.0905366	42.6335
-0.4355	-0.0685969	42.6607
-0.4834	0.0610815	42.6973
-0.5429	0.0736581	42.7367
-0.6072	0.0771583	42.771
-0.6495	-0.0221018	42.7936
-0.7098	0.121014	42.8284
-0.7686	0.0899199	42.8673
-0.8206	0.0735473	42.8949
-0.8492	-0.00351149	42.918
0.8209	-7.646	42.9555
-0.6973	10.5265	42.9948
-0.5854	-3.79697	42.7541
-0.4686	-0.571088	42.4462
-0.3562	-0.291842	42.1433
-0.298	-0.0534438	41.97
-0.2366	-0.20524	41.9634
-0.1962	-0.123636	42.007
-0.1811	-0.0657586	42.0295
-0.1772	-0.0811425	42.0752
-0.1919	-0.0285965	42.1218
-0.224	0.00722747	42.1674
-0.2705	0.0344949	42.2123
-0.327	0.0519518	42.2549
-0.3681	-0.0327144	42.2819
-0.4315	0.111949	42.3211
-0.4756	-0.011916	42.3492
-0.5387	0.126078	42.3797
-0.5994	0.0876567	42.4214
-0.6528	0.0706165	42.4512
-0.6823	-0.0077359	42.4766
-0.7178	0.0856931	42.5172
-0.7368	0.010836	42.545
-0.7558	0.0555129	42.5831
-0.7646	0.0188281	42.6252
-0.7648	0.00875933	42.6521
-0.7567	-0.00362894	42.6938
-0.7399	-0.020322	42.7353
-0.7244	0.00751433	42.7628
-0.6962	-0.0515909	42.8034
-0.6619	-0.0520626	42.8437
-0.6237	-0.0569083	42.8826
-0.602	0.0236431	42.9086
-0.5498	-0.154824	42.9474
-0.499	-0.0872729	42.9846
-0.4669	-0.0078738	42.9996
-0.4239	-0.105782	43.0356
-0.3839	-0.0765821	43.0737
-0.3601	-0.0145381	43.0964
-0.3303	-0.0837392	43.1337
-0.3052	-0.0558292	43.1717
-0.2864	-0.0411046	43.2078
-0.2779	-0.0126326	43.2329
-0.2702	-0.0352615	43.2708
-0.2671	-0.018845	43.3082
-0.2684	-0.00968927	43.3456
-0.2735	-0.00253179	43.3827
-0.2813	0.00178851	43.4195
-0.2875	-0.0101384	43.4439
-0.2972	0.0111992	43.4801
-0.3075	0.00885959	43.5163
-0.3141	-0.00689283	43.54
-0.3228	0.0136616	43.5757
-0.3302	0.00636377	43.6113
-0.334	-0.00459507	43.6347
-0.3375	0.0047683	43.6699
-0.3617	0.102056	43.705
-0.4488	0.344535	43.7397
-0.6129	0.559253	43.7635
-0.7517	0.283145	43.6919
-0.8444	0.147141	43.5174
-0.8886	0.0606606	43.5189
-0.8921	0.011832	43.5585
-0.8753	0.0302884	43.5856
-0.8274	-0.0539337	43.6222
-0.8329	0.260647	43.6473
-0.997	0.864453	43.6782
-1.1386	0.41198	43.6514
-1.2299	0.236636	43.3895
-1.2613	0.107725	43.2926
-1.2598	0.120907	43.3114
-1.2246	0.0627888	43.3571
-1.1781	0.0966123	43.3851
